block1 48 1 20 1 1691 
block1 12 0 5 3 4000 
block1 8 0 5 3 4000 
block1 26 0 10 3 4000 
block1 22 0 10 3 4000 
block1 53 0 20 3 4000 
block1 38 0 15 3 4000 
block1 25 0 10 3 4000 
block1 37 0 15 3 4000 
block1 27 0 10 3 4000 
block1 19 1 10 1 577 
block1 44 1 20 1 728 
block1 5 1 5 1 535 
block1 16 1 10 1 718 
block1 56 0 20 3 4000 
block1 13 0 5 3 4000 
block1 4 1 5 1 504 
block1 51 0 20 3 4000 
block1 11 0 5 3 4000 
block1 34 1 15 1 728 
block1 14 0 5 3 4000 
block1 39 0 15 3 4000 
block1 15 1 10 1 1184 
block1 31 1 15 1 655 
block1 52 0 20 3 4000 
block1 3 1 5 1 551 
block1 46 1 20 1 679 
block1 35 1 15 1 1023 
block1 21 1 10 1 663 
block1 47 1 20 1 1212 
block1 30 1 15 1 751 
block1 40 0 15 3 4000 
block1 43 1 20 1 1000 
block1 10 0 5 3 4000 
block1 9 0 5 3 4000 
block1 29 1 15 1 585 
block1 24 0 10 3 4000 
block1 20 1 10 1 864 
block1 50 0 20 3 4000 
block1 45 1 20 1 768 
block1 32 1 15 1 871 
block1 36 0 15 3 4000 
block1 42 0 15 3 4000 
block1 55 0 20 3 4000 
block1 18 1 10 1 818 
block1 17 1 10 1 799 
block1 41 0 15 3 4000 
block1 23 0 10 3 4000 
block1 1 1 5 1 873 
block1 6 1 5 1 599 
